gene_name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name,gene_id
SAA1,0.0099100114720431,0.0290105722249508,6.90511122904016,1,102.867928247113,1.46481561397504,SAA1,ENSG00000173432
LRRK2,1.41863065855165e-07,1.36406794091505e-05,31.9572249496499,1,102.867928247113,-5.78601155939675,LRRK2,ENSG00000188906
SRGN,2.72167973299741e-05,0.0003351822331277,19.2991198650699,1,102.867928247113,-4.15176179323746,SRGN,ENSG00000122862
C4BPA,2.19344587373438e-06,6.48948483353366e-05,25.181343535435,1,102.867928247113,-5.39093698046893,C4BPA,ENSG00000123838
CD24,0.0062960686248273,0.0201516956017274,7.77984683240857,1,102.867928247113,1.24202639889715,CD24,ENSG00000272398
MT-ND6,9.35289715929658e-06,0.0001633220985325,21.7531930336661,1,102.867928247113,-4.10091154046826,MT-ND6,ENSG00000198695
SAMSN1,0.0003071746799454,0.0018821977937835,13.9581086354267,1,102.867928247113,-5.36775852966948,SAMSN1,ENSG00000155307
MS4A2,0.006248558727578,0.020014601946118,7.79458660558486,1,102.867928247113,-4.04513387144806,MS4A2,ENSG00000149534
KRT15,0.93204388523192,0.955158726411068,0.0073072746375602,1,102.867928247113,-0.0527262748936937,KRT15,ENSG00000171346
LYPD2,0.0011130077942094,0.005176112050577,11.2549833157529,1,102.867928247113,-5.24448009087038,LYPD2,ENSG00000197353
BPIFB1,1.85396617467135e-05,0.0002663744503838,20.1742294312397,1,102.867928247113,2.40071562884695,BPIFB1,ENSG00000125999
NNMT,0.0056669801614737,0.0185074466409984,7.98507608116821,1,102.867928247113,-2.37117929580972,NNMT,ENSG00000166741
HOPX,1.06836751463986e-06,4.41435244413584e-05,26.9228678628096,1,102.867928247113,-4.15441182357284,HOPX,ENSG00000171476
C11orf96,0.0027971914474224,0.0105874013906982,9.38194698239507,1,102.867928247113,-2.85746676360509,C11orf96,ENSG00000187479
TYROBP,1.93812970109592e-06,6.05665531592475e-05,25.4790011864292,1,102.867928247113,-6.27880584298328,TYROBP,ENSG00000011600
RNASE1,5.00529004906694e-07,2.71162352533949e-05,28.7880874345767,1,102.867928247113,-3.90823348147167,RNASE1,ENSG00000129538
GKN2,4.85047303053428e-05,0.0005063124248991,17.9968189409988,1,102.867928247113,-6.85213939586421,GKN2,ENSG00000183607
CD69,0.0005572929135204,0.0029929802015061,12.6953232644822,1,102.867928247113,-4.18101578190061,CD69,ENSG00000110848
TTN,1.1391117873069e-06,4.43031332624735e-05,26.766533440377,1,102.867928247113,-7.83972474982888,TTN,ENSG00000155657
PABPC3,0.0021533733888602,0.0086689749954117,9.90807465752452,1,102.867928247113,2.31710894619431,PABPC3,ENSG00000151846
CXCL8,0.0221969175724342,0.0546183995384699,5.3922329886471,1,102.867928247113,1.1507916826145,CXCL8,ENSG00000169429
ADH7,0.545327777768572,0.652084122654701,0.368193042479955,1,102.867928247113,-0.435233602586367,ADH7,ENSG00000196344
ADGRF5,3.22174606148022e-07,2.03907978574698e-05,29.8858815034961,1,102.867928247113,-5.13664346511675,ADGRF5,ENSG00000069122
TMEM190,0.0043562236707207,0.015026033033663,8.50143286423327,1,102.867928247113,1.36731645713473,TMEM190,ENSG00000160472
DLC1,2.00879518992899e-06,6.20579813594562e-05,25.3927801254821,1,102.867928247113,-5.34368819256276,DLC1,ENSG00000164741
MUC5AC,0.23298081852042,0.346800861149776,1.43947198670521,1,102.867928247113,-1.4246823164458,MUC5AC,ENSG00000215182
SLC18A2,0.0010846590211733,0.0050752684646345,11.308189123921,1,102.867928247113,-6.3545500982046,SLC18A2,ENSG00000165646
SAA2,0.00254664547728,0.0099040900053136,9.57017095246084,1,102.867928247113,1.7350414338933,SAA2,ENSG00000134339
PLA2G1B,2.67980442516597e-05,0.0003308400524896,19.3343111418577,1,102.867928247113,-5.53008858315674,PLA2G1B,ENSG00000170890
UPK1B,0.355997496758258,0.479711280639533,0.859683929832617,1,102.867928247113,-0.754163836168672,UPK1B,ENSG00000114638
CACNA2D2,1.20904413814929e-06,4.51135872443765e-05,26.6214528632322,1,102.867928247113,-6.23901176500094,CACNA2D2,ENSG00000007402
RPL36A-HNRNPH2,0.19506789673463,0.304128307974166,1.70100051293584,1,102.867928247113,2.17896557891758,RPL36A-HNRNPH2,ENSG00000257529
SENP3-EIF4A1,0.228230247297457,0.341355440169693,1.46931699029457,1,102.867928247113,2.20907348000192,SENP3-EIF4A1,ENSG00000277957
DMBT1,0.0014187801624485,0.0062642432068951,10.756425359074,1,102.867928247113,-2.93906724456388,DMBT1,ENSG00000187908
ALOX5AP,5.85526186323514e-06,0.0001214784618928,22.8482123629271,1,102.867928247113,-5.50484324557832,ALOX5AP,ENSG00000132965
